application_no,amount,date,amount_fine,amount_discount,description,collected_by,payment_mode,received_by,fee_category,fee_group,fee_type,receipt_id
993,4000,2021-11-05,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,2
993,1000,2021-11-01,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,3
909,5000,2021-12-01,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,5
1049,3000,2021-12-01,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,6
1132,4000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,7
1070,3000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,8
1096,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,1,9
1300,6000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,10
1156,3700,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,11
1156,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,11
1156,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,11
1082,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,12
1082,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,12
1082,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,12
1262,600,2021-12-04,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,9,13
1393,3000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,1,14
1420,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,15
1420,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,15
1420,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,15
1420,600,2021-12-04,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,9,15
896,4000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,16
896,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,16
896,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,16
896,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,16
1040,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,17
1040,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,17
1040,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,17
1017,3000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,18
1017,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,18
1017,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,18
1017,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,18
1073,4000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,19
1491,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,2,21
1491,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,4,21
1395,1200,2021-11-01,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,9,22
1014,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,23
1014,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,23
1014,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,23
931,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,25
931,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,25
931,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,25
1272,6000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,26
1272,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,26
1272,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,26
1358,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,27
1358,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,27
1379,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,1,29
1379,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,2,29
1379,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,4,29
1392,1200,2021-11-15,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-BIPC,5,30
1486,2000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,31
1486,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,31
1486,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,31
1410,4000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,33
1392,7000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,1,34
1392,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,2,34
1392,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,4,34
1174,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,35
1174,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,35
1461,1200,2021-11-06,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,9,36
1184,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,37
1184,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,37
1209,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,38
1209,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,38
1117,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,39
1117,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,39
1461,800,2021-10-26,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-CEC,5,40
1090,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,41
1090,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,41
1370,7000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,42
1370,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,42
1370,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,42
1370,1200,2021-12-04,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,9,42
1266,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,43
1266,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,43
1471,600,2021-11-02,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,9,44
1293,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,45
1368,4000,2021-11-10,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,1,46
1522,1200,2021-10-26,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,9,47
1368,800,2021-11-18,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-CEC,5,49
1033,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MEC,2,50
1033,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MEC,4,50
1330,800,2021-10-28,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-CEC,5,52
1330,5000,2021-10-28,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,1,53
1330,1200,2021-10-28,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,9,53
1330,4000,2021-10-28,0,0,"VAN FEES","Super Admin(9000)",Cash,1,fees,2021-202208199-VAN-FEE,6,54
1268,8000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,56
1268,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,56
1268,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,56
1514,800,2021-11-18,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MEC,5,57
1087,8000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,1,58
1087,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,2,58
1087,2500,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,3,58
1087,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,4,58
1194,2000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,60
1194,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,60
1194,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,60
1277,2500,2021-10-26,0,0,"VAN FEES","Super Admin(9000)",Cash,1,fees,2021-202208199-VAN-FEE,6,63
1470,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,2,64
1470,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,4,64
1370,1000,2021-11-18,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,65
1456,600,2021-12-04,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,9,66
1529,1000,2021-10-26,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,67
1414,1000,2021-11-18,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,68
1531,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,69
1531,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,69
1465,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,70
1465,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,70
1414,5000,2021-10-27,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,71
1343,3000,2021-11-01,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,72
1207,2000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,73
1428,5000,2021-11-29,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,74
1347,5000,2021-11-01,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,75
1428,1000,2021-11-15,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,76
1487,1000,2021-10-26,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,77
1166,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,78
1166,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,78
1166,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,78
1450,8500,2021-11-27,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,79
1450,800,2021-11-27,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,79
1450,500,2021-11-27,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,79
1237,7000,2021-11-27,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,1,80
1237,900,2021-11-27,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,2,80
1237,2500,2021-11-27,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,3,80
1237,500,2021-11-27,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,4,80
1131,3000,2021-11-25,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,81
1465,7000,2021-11-06,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,83
1465,1200,2021-11-06,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,9,83
1473,8000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,84
1473,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,84
1473,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,84
1011,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,85
1011,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,85
1011,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,85
1168,800,2021-11-16,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-CEC,5,86
1189,6000,2021-11-24,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,87
1425,600,2021-12-04,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,9,88
1202,800,2021-11-01,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-CEC,5,90
1209,6000,2021-11-24,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,91
996,6000,2021-11-24,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,92
1027,5000,2021-11-02,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,96
1328,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,97
1328,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,97
1027,1000,2021-10-30,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,98
1030,8000,2021-10-28,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,99
1231,3000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,100
1031,1000,2021-11-16,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,101
1031,7000,2021-11-18,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,102
1038,8000,2021-11-09,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,103
1161,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,104
1161,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,104
1061,4000,2021-11-10,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,105
1080,5000,2021-11-01,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,106
1122,800,2021-11-06,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-CEC,5,107
893,8000,2021-11-02,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,108
898,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,109
898,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,109
898,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,109
1122,2000,2021-11-01,0,0,"VAN FEES","Super Admin(9000)",Cash,1,fees,2021-202208199-VAN-FEE,6,110
904,8000,2021-11-06,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,111
1015,1000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,112
1015,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,112
1015,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,112
1015,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,112
967,1000,2021-11-16,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,113
1472,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,114
1472,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,114
1194,800,2021-11-03,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-CEC,5,115
973,8000,2021-11-11,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,116
982,1600,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,117
982,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,117
982,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,117
982,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,117
1194,4000,2021-11-01,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,118
1194,2000,2021-11-24,0,0,"VAN FEES","Super Admin(9000)",Cash,1,fees,2021-202208199-VAN-FEE,6,119
1353,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,120
1353,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,120
1224,5000,2021-11-25,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,122
1474,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,123
1155,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,124
1155,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,124
1102,3000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,1,125
894,6000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,126
894,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,126
894,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,126
1218,5000,2021-11-17,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MEC,1,127
1159,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,128
1159,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,128
1293,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,129
1293,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,129
1015,7000,2021-10-18,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,130
1435,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,132
1435,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,132
1347,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,133
1347,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,133
1180,2700,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,134
1180,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,134
1180,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,134
1039,10000,2021-11-16,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,135
1056,5000,2021-11-25,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,136
1064,15000,2021-11-02,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,138
1147,6000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,139
1164,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,140
1164,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,140
1067,5000,2021-11-13,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,141
1231,2000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,142
1070,5000,2021-11-03,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,143
1410,2000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,144
1410,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,144
1410,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,144
1070,1000,2021-10-30,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,145
1422,10000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,146
900,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,147
900,2000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,148
1489,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,2,150
1489,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,4,150
968,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,151
968,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,151
